project,pr_id,First_Status,Reputation,Changed_file,Evaluation_time,Nb_Comments,Nb_Commits,LC_added,LC_deleted,classes
twbs,20768,1,0.5,0,10.58,0,0,12,3,0
twbs,19243,1,0.96,0,0.94,0,0,4,3,0
twbs,1573,0,0,0,5.14,1,1,2,2,0
twbs,13487,0,0,0,0.01,2,2,1,1,0
twbs,10327,1,0.22,0,115.61,0,0,0,0,0
twbs,12657,0,0.73,0,1.93,0,0,0,0,0
twbs,16171,1,0.5,0,0.14,0,0,1,0,0
twbs,18707,0,0.27,0,0.81,1,0,100,47,1
twbs,8299,1,0.96,0,0.05,0,0,0,0,0
twbs,7440,1,0.79,0,0.03,0,0,38,0,0
twbs,22273,0,0,0,0.05,1,1,1,1,0
twbs,18673,0,0.27,0,282.79,0,0,36,32,0
twbs,19056,0,0.33,0,219.29,1,1,1,1,0
twbs,11428,0,0,0,0,0,0,0,0,0
twbs,17346,1,0.5,0,0.1,0,0,3,1,0
twbs,2474,0,0,0,135.86,0,0,0,0,0
twbs,21375,1,0.48,0,13.27,0,0,65,4,0
twbs,21589,0,0.48,0,2.03,0,0,507,490,1
twbs,13687,0,0.5,0,0.07,0,0,4,0,1
twbs,18513,0,0.27,0,0.27,0,0,20,20,0
twbs,13627,1,0.96,0,18.57,4,4,0,0,0
twbs,20472,0,0,0,4.83,2,0,6,7,1
twbs,20338,1,0.96,0,0.3,0,0,3,3,0
twbs,20472,0,0,0,4.83,2,0,6,7,1
twbs,12177,0,0,0,0,0,0,7174,373,0
twbs,12742,1,0.73,0,7.28,0,0,19,1,0
twbs,16714,0,0,0,0.4,0,0,1,0,0
twbs,15269,1,0.96,0,0.01,3,3,16,16,0
twbs,15658,0,0.56,0,0.05,1,0,20,0,1
twbs,17698,0,0,0,33.07,0,0,1,1,1
twbs,21418,0,0,0,0.13,1,1,1,1,0
twbs,8731,0,0.5,0,7.79,1,0,3,0,1
twbs,13415,0,0.5,0,1.09,0,0,2,1,0
twbs,17813,0,0,0,0,0,0,4,0,0
twbs,7492,0,0.25,0,0.27,1,1,0,0,0
twbs,17161,1,0.56,0,0.34,1,1,8,8,0
twbs,12040,0,0.36,0,0.36,0,0,1,1,0
twbs,9823,1,0.69,0,0,0,0,71,73,0
twbs,9957,0,0.2,0,0,1,0,0,0,1
twbs,17765,0,0,0,24.36,2,2,55,70,0
twbs,8911,1,0.5,0,0.21,0,0,1,0,0
twbs,13405,0,0,0,0.42,1,0,109,24,1
twbs,7774,0,0,0,0.01,0,0,164,35,1
twbs,14927,0,0.84,0,5.81,7,0,19,2,1
twbs,18131,0,0.27,0,12.13,3,3,24,4,0
twbs,5846,0,0,0,0.14,0,0,0,0,0
twbs,1508,0,0,0,3.97,5,5,0,0,0
twbs,6576,0,0,0,22.69,1,0,0,0,1
twbs,14601,0,0,0,5.52,0,0,45,1,0
twbs,21918,1,0.9,0,0,0,0,4991,4823,0
twbs,2569,0,0,0,0.12,0,0,4,6,0
twbs,22542,1,0.52,0,50.51,0,0,1,0,0
twbs,20973,0,0.6,0,2.38,0,0,9,3,1
twbs,20596,0,0,0,0.83,2,0,0,0,1
twbs,9339,0,0.2,0,6.36,3,3,0,0,0
twbs,3015,0,0,0,4.03,2,2,0,0,0
twbs,2238,0,0,0,1.81,0,0,0,0,1
twbs,14088,1,0.96,0,0.01,0,0,54666,2659,0
twbs,19721,0,0,0,0.04,0,0,0,0,1
twbs,19614,0,0.03,0,0,0,0,0,0,1
twbs,12058,1,0.73,0,47.83,0,0,29,3,0
twbs,15640,0,0,0,34.54,0,0,2,1,0
twbs,11537,0,0,0,11.44,11,11,105,1,0
twbs,14724,0,0.9,0,0.01,0,0,21,26,1
twbs,4480,0,0,0,0.01,0,0,1,1,1
