project,pr_id,First_Status,Reputation,Changed_file,Evaluation_time,Nb_Comments,Nb_Commits,LC_added,LC_deleted,classes
cocos2d-x,1924,0,0.2,0,0.01,0,0,0,0,1
cocos2d-x,1255,1,0.81,13,0.01,0,4,4750,231,0
cocos2d-x,8043,0,0.64,1,0.02,0,0,1,0,1
cocos2d-x,17849,1,0.95,1,0.75,0,1,3,2,0
cocos2d-x,11088,1,0.95,2,0,0,2,106,61,0
cocos2d-x,2288,1,0.67,1,6.57,0,2,19,0,0
cocos2d-x,4417,1,0.88,5,0.01,0,2,768,74,0
cocos2d-x,12804,0,0.8,1,7.09,0,0,68,21,1
cocos2d-x,13533,1,0.64,5,0.05,0,1,413,413,0
cocos2d-x,3159,1,0.64,1,0,0,1,1,1,0
cocos2d-x,7364,1,0.85,20,0.38,0,5,111,72,0
cocos2d-x,15263,0,0.64,7,0,0,1,716,0,0
cocos2d-x,11051,1,0.89,0,0,0,0,0,0,0
cocos2d-x,10330,0,0.89,4,0.01,0,4,85,120,0
cocos2d-x,11751,1,0.96,40,0.17,0,5,41,238,0
cocos2d-x,3343,1,0.93,3,0.3,0,2,45,2,0
cocos2d-x,16204,1,0.64,1,0.06,0,1,1,0,0
cocos2d-x,6469,0,0.01,5194,155.03,0,10000,1137773,24870,0
cocos2d-x,7876,1,0.72,36,41.77,0,16,3651,661,0
cocos2d-x,3008,1,0.95,7,0.71,0,5,37,105,0
cocos2d-x,1944,0,0.67,0,64.38,0,0,0,0,0
cocos2d-x,1288,0,0.67,0,8.13,0,0,0,0,1
cocos2d-x,7841,1,0.93,21,0.13,0,8,54,38,0
cocos2d-x,1033,0,0.51,0,10.98,1,0,0,0,1
cocos2d-x,8883,0,0.85,171,2.42,0,64,4131,874,0
cocos2d-x,16223,1,0.95,6,0,0,1,12,0,0
cocos2d-x,13684,0,0.6,2,2.56,0,1,3,1,0
cocos2d-x,9266,1,0.94,7,0.28,0,2,81,69,0
cocos2d-x,820,1,0.75,1,7.04,0,1,1,1,0
cocos2d-x,3083,0,0.86,265,5.06,0,1,39635,1755,0
cocos2d-x,3479,1,0.86,2,1.71,0,1,1561,101,0
cocos2d-x,6540,0,0.64,1,2.24,0,1,2,0,0
cocos2d-x,12172,1,0.56,8,1.16,0,9,1950,429,0
cocos2d-x,15496,0,0.2,1,0.08,0,0,4,0,1
cocos2d-x,11224,0,0.5,1,0.19,0,0,3,1,1
cocos2d-x,11604,0,0,55,0.22,0,59,12429,10137,0
cocos2d-x,4249,0,0.64,1,0,0,1,1,1,0
cocos2d-x,16968,1,0.97,1,0,0,2,2,2,0
cocos2d-x,16995,0,0,0,0.05,1,1,0,0,0
cocos2d-x,15389,1,0.64,3,0.42,0,1,43,1,0
cocos2d-x,3283,1,0.97,12,0.02,0,2,231,369,0
cocos2d-x,12762,0,0.89,0,4.74,0,0,0,0,1
cocos2d-x,16765,1,0.75,37,5.15,0,3,131,131,0
cocos2d-x,139,1,0.94,0,2.91,0,0,0,0,0
cocos2d-x,15440,1,0.64,1,0.06,0,1,1,0,0
cocos2d-x,13487,1,0.82,1,0,0,1,13,5,0
cocos2d-x,3760,1,0.94,5,0,0,2,33,22,0
cocos2d-x,13490,0,0.89,15,0.59,0,8,822,81,0
cocos2d-x,11876,0,0.64,6,0,0,1,143,52,0
cocos2d-x,10723,1,0.79,0,4.72,0,0,0,0,0
cocos2d-x,4340,1,0.94,3,0.65,0,4,192,206,0
cocos2d-x,16193,0,0.95,1,0.01,0,1,2,2,0
cocos2d-x,10799,1,0.68,164,0.66,0,12,9,49445,0
