project,pr_id,First_Status,Reputation,Changed_file,Evaluation_time,Nb_Comments,Nb_Commits,LC_added,LC_deleted,classes
rails,28341,0,0.8,3,1.49,0,0,6,4,1
rails,18621,1,0.77,1,0.03,0,1,31,1,0
rails,22612,1,0.75,1,0.01,0,1,5,1,0
rails,8395,1,0.5,1,6.73,0,1,2,23,0
rails,4983,0,0.5,0,409.93,9,0,13,0,0
rails,15145,1,0.86,0,0.09,0,0,0,0,0
rails,28403,0,0.33,647,0,0,737,14645,8803,0
rails,21894,0,0.81,1,0.07,2,0,6,10,1
rails,22939,1,0.93,3,0.02,0,1,19,1,0
rails,7028,1,0.75,7,7.4,0,1,13,16,0
rails,5900,1,0.79,2,0.01,0,1,7,1,0
rails,11107,1,0.5,3,27.95,0,1,2,2,0
rails,22929,0,0.67,11,0.04,0,1,0,24,0
rails,4320,1,0.76,1,0.04,0,1,6,29,0
rails,27100,0,0,4,4.92,4,2,7,3,0
rails,7790,0,0.52,1,0,0,1,22,5,0
rails,23377,1,0.66,4,13.09,0,1,25,17,0
rails,22330,0,0.6,8,0.07,2,0,65,65,1
rails,17736,0,0,2,0.01,1,2,120,24,0
rails,19586,0,0.66,2,1.16,0,0,18,1,1
rails,13388,0,0,1,0,3,0,3,0,1
rails,3320,0,0.67,1,0.21,1,0,6,6,1
rails,14334,1,0.33,1,0.08,0,1,0,4,0
rails,7964,1,0.61,7,1.45,0,1,0,136,0
rails,11641,1,0.58,0,0.03,0,0,0,0,0
rails,3564,1,0.86,1,0.07,0,1,12,3,0
rails,7558,0,0.43,0,0.13,0,0,1,0,0
rails,18355,1,0.79,0,0.02,0,0,13,0,0
rails,14973,1,0.6,1,0.16,0,1,29,1,0
rails,1323,0,0.33,2,0.46,0,0,11,1,1
rails,23199,0,0.69,1,0.01,2,1,16,42,0
rails,32,0,0.76,0,0,0,0,80,0,0
rails,21167,0,0.5,2,0.77,0,0,2,2,1
rails,17777,0,0,1,0.56,9,0,0,0,1
rails,29205,0,0,4,0.01,0,0,19,6,1
rails,25914,0,0.57,4,0,2,0,81,0,1
rails,16763,1,0.71,0,0.19,0,0,0,0,0
rails,12317,1,0.87,4,0.23,0,1,16,1,0
rails,21669,1,0.72,1,0.73,0,1,122,2,0
rails,26166,1,0.86,1,0.03,0,1,4,4,0
rails,10351,1,0.47,2,0.4,0,2,8,5,0
rails,20384,0,0.77,4,48.95,11,0,82,17,1
rails,18670,1,0.77,2,0.13,0,1,10,2,0
rails,17149,0,0,3,160.82,2,1,0,0,0
rails,23732,1,0.64,3,0.04,0,1,15,2,0
rails,15513,1,0.64,3,0.73,0,1,0,91,0
rails,25958,1,0.86,1,0.68,0,1,38,0,0
rails,14157,0,0,2,500.3,0,0,29,3,1
rails,27395,1,0.93,5,0.18,0,1,8,8,0
rails,20511,0,0.5,1,3.55,0,0,41,12,1
rails,22485,0,0.79,2,18.44,0,1,3,2,0
rails,15174,0,0.44,2,0.44,1,1,18,1,0
rails,11404,0,0.58,0,0.12,0,0,0,0,0
rails,13388,0,0,1,0,3,0,3,0,1
rails,13600,0,0.33,4,0.63,3,2,3,3,0
rails,25726,1,0.61,2,0.05,0,1,5,5,0
rails,9042,1,0.87,3,41.14,0,1,50,1,0
rails,21687,1,0.86,3,0.6,0,1,2,27,0
rails,10453,1,0.78,1,2.12,0,1,27,1,0
rails,1309,0,0.29,0,0,0,0,0,0,1
rails,25241,1,0.5,2,31.82,0,1,12,2,0
rails,17112,0,0,2,3.16,3,0,15,10,1
rails,20346,1,0.79,4,0.07,0,1,2,59,0
rails,23001,0,0,0,0,1,0,61,0,0
