project,pr_id,First_Status,Reputation,Changed_file,Evaluation_time,Nb_Comments,Nb_Commits,LC_added,LC_deleted,classes
symfony,6064,0,0.67,7,0.02,0,1,69,70,0
symfony,19917,1,0,6,0.09,0,1,97,277,0
symfony,18271,0,0.83,1,4,0,1,3,3,0
symfony,1752,0,0.73,0,0,1,0,0,0,0
symfony,16177,0,0.69,2,10.89,0,2,10,9,0
symfony,19343,0,0,1,2.07,0,3,2,2,0
symfony,13876,1,0.42,1,145.03,2,3,6,2,0
symfony,22541,1,0.14,2,0.01,0,1,32,5,0
symfony,12175,0,0.78,2,6.7,0,0,17,1,1
symfony,687,0,0.79,0,0.23,0,0,0,0,0
symfony,9333,1,0.17,2,0.15,0,1,52,2,0
symfony,6326,0,0.69,0,2.05,0,0,0,0,0
symfony,23124,0,0.87,1,0.11,0,1,1,3,0
symfony,23101,1,0.58,1,4.47,0,1,2,2,0
symfony,18460,1,0,2,0.88,0,1,10,1,0
symfony,21535,1,0.48,1,0.59,3,1,1,1,0
symfony,20827,1,0.24,1,0.86,0,1,2,6,0
symfony,1322,0,0.79,1,0.02,0,1,13,13,0
symfony,8352,0,0,3,14.01,0,2,15,2,0
symfony,9247,1,0.17,2,7.71,0,3,18,14,0
symfony,5650,1,0.77,5,0.08,1,0,91,1,1
symfony,7312,0,0.66,4,42.53,3,2,32,4,0
symfony,21744,1,0.77,1,0.27,0,8,61,52,0
symfony,8887,0,0,0,0.56,0,0,0,0,0
symfony,9675,0,0.78,0,0.46,0,0,0,0,0
symfony,16869,0,0.37,0,1.08,0,0,0,0,1
symfony,22012,1,0.48,2,4.87,0,2,22,27,0
symfony,9431,0,0.78,2,0.32,0,1,5,0,0
symfony,13608,0,0.17,1,4.24,1,0,0,0,1
symfony,12191,1,0,1,1.04,0,2,2,2,0
symfony,17467,1,0.21,8,0.02,0,1,55,42,0
symfony,17022,0,0.77,4,19.15,0,0,89,1,1
symfony,8693,0,0.67,2,0.06,0,1,42,2,0
symfony,554,1,0.88,1,0.01,1,0,1,3,1
symfony,20189,1,0.25,4,114.55,0,1,10,3,0
symfony,7706,1,0.44,45,1.46,9,0,178,212,1
symfony,12427,0,0.9,1,1.86,0,1,2,0,0
symfony,6423,0,0.88,0,1.13,0,0,0,0,1
symfony,1727,0,0.69,1,0.13,0,1,1,1,0
symfony,10179,0,0.87,2,367.79,0,0,26,0,1
symfony,11615,0,0.87,2,10.97,0,1,24,0,0
symfony,1784,0,0.56,0,44.48,0,0,0,0,0
symfony,2711,1,0.6,0,0.03,1,0,0,0,0
symfony,20321,1,0.44,0,0.28,0,0,0,0,0
symfony,11185,0,0.87,0,0.06,7,0,0,0,1
symfony,10117,1,0.63,1,0,0,1,1,1,0
symfony,15144,0,0.88,1,0.11,0,1,3,4,0
symfony,18315,1,0.55,2,0,0,2,49,2,0
symfony,13239,1,0.38,8,2.18,0,1,20,19,0
symfony,938,1,0.56,2,27.61,0,1,92,16,0
symfony,23153,1,0.87,1,1.52,6,1,2,2,0
symfony,9586,0,0.83,0,35.06,3,0,0,0,0
symfony,12404,0,0,5,12.88,0,1,39,125,0
symfony,1956,1,0.88,0,1.13,2,0,0,0,1
symfony,6423,0,0.88,0,1.13,0,0,0,0,1
symfony,8147,0,0.75,4,0.17,0,1,6,6,0
symfony,19108,0,0,1,0.59,4,0,73,0,1
symfony,4123,0,0.33,1,0.06,0,2,57,5,0
symfony,18429,1,0.88,3,3.33,0,2,74,18,0
symfony,10451,1,0.4,4,0.95,0,1,154,6,0
symfony,12211,0,0,2,0.01,1,1,39,2,0
symfony,10801,0,0.2,1,0,0,1,4,0,0
symfony,22811,1,0.35,21,51.7,0,2,261,229,0
symfony,1890,0,0.5,1,20.5,2,0,1,1,1
symfony,8378,1,0.9,4,271.93,7,1,53,9,0
symfony,9236,1,0,1,0.64,0,1,1,0,0
symfony,16568,1,0.88,2,0.18,0,1,6,9,0
symfony,7236,1,0.65,3,4.99,0,3,13,6,0
symfony,4760,1,0.52,1,0,0,0,7,9,1
symfony,8984,1,0.3,0,16.76,3,0,0,0,0
symfony,1831,1,0.62,1,0,0,1,24,0,0
symfony,12776,0,0,0,11.68,0,0,0,0,0
symfony,11243,1,0.75,1,0.07,0,1,6,2,0
symfony,10654,1,0,1,0.61,0,1,3,3,0
symfony,7862,1,0.44,5,1.11,6,1,176,0,0
symfony,2644,1,0.25,6,0.56,0,1,30,6,0
symfony,7814,0,0.62,0,0.03,0,0,0,0,0
symfony,7946,1,0.4,1,0,0,1,2,2,0
symfony,10817,0,0.78,1,0.44,0,1,3,0,0
symfony,15409,1,0.83,0,0.2,6,0,0,0,0
symfony,13752,1,0.83,2,1.89,0,1,8,33,0
symfony,22836,1,0.77,8,37.53,0,1,31,729,0
symfony,12228,0,0.87,0,0,0,0,0,0,1
symfony,18410,0,0.38,5,0.52,0,1,42,40,0
symfony,962,1,0.67,0,0.34,0,0,0,0,0
symfony,17316,0,0.5,4,0,1,1,3,12,0
symfony,12069,0,0,3,3.32,4,1,13,2,0
symfony,4544,1,0.36,1,2.81,0,1,1,1,0
symfony,18045,1,0.87,2,0.1,0,1,8,12,0
symfony,20940,1,0.17,4,60.94,4,1,230,80,0
symfony,10589,0,0.3,2,0.04,0,1,3,2,0
symfony,14706,0,0.14,1229,0,1,878,28209,11893,0
symfony,538,1,0.79,1,0.17,1,2,14,17,0
symfony,12382,0,0.66,1,0.3,0,1,1,3,0
symfony,5689,0,0.64,0,2.03,4,0,0,0,1
symfony,8685,0,0.44,8,769.14,12,7,942,3,0
symfony,10714,0,0.3,7,26.91,0,7,143,30,0
symfony,2164,1,0.22,0,0.64,0,0,0,0,0
symfony,18152,0,0.67,4,0.04,0,3,83,4,0
symfony,7201,0,0.83,0,23.93,0,0,0,0,0
symfony,19369,1,0.88,1,2.69,0,1,23,1,0
symfony,657,0,0,15,0,0,0,18,57,1
symfony,22043,1,0.88,0,5.29,0,0,0,0,0
symfony,8944,1,0.78,0,0.3,0,0,0,0,1
symfony,194,0,0.3,2,0.12,0,3,11,7,0
symfony,14101,0,0.88,1,0,0,0,4,3,1
symfony,17613,1,0.4,3,8.59,0,1,3,2,0
symfony,7668,0,0.55,2,0.28,2,1,10,1,0
symfony,3118,1,0.75,7,1.09,0,4,359,186,0
symfony,16460,0,0,3,24.07,0,0,43,1,1
symfony,16443,0,0.53,2,0.39,0,1,15,5,0
symfony,20906,1,0.52,5,0.04,0,1,1,63,0
symfony,8400,0,0.62,1,0.03,0,1,4,4,0
symfony,3283,1,0.89,8,3.75,0,5,166,20,0
symfony,10179,0,0.87,2,367.79,0,0,26,0,1
symfony,5170,0,0,0,0,2,0,0,0,1
symfony,19784,0,0.33,8,0.04,0,0,132,13,1
symfony,3865,1,0.35,2,0.16,2,0,77,1,1
symfony,6501,0,0.69,10,0.55,0,1,83,77,0
symfony,13162,1,0.63,70,0.41,0,1,81,140,0
symfony,18292,0,0,1,0.01,2,1,3,5,0
symfony,22400,0,0,1,0.02,0,1,1,1,0
symfony,14633,0,0.63,2,0.23,0,1,25,0,0
symfony,339,0,0.63,2,3.28,0,6,208,1,0
symfony,21544,1,0,2,0,0,2,38,2,0
symfony,14028,0,0.77,1,0.81,2,0,37,11,1
symfony,19113,1,0.83,1,0.01,0,1,2,2,0
symfony,3289,0,0.52,0,1.88,0,0,0,0,0
symfony,18741,1,0.52,2,0,0,2,14,2,0
symfony,16297,1,0.68,0,17.79,7,0,0,0,0
symfony,14053,0,0,2,0.01,0,0,176,1,1
symfony,4865,1,0.77,3,0.7,0,1,26,9,0
symfony,21108,1,0.33,15,4.67,0,2,349,28,0
symfony,18992,0,0.3,1,0.79,0,2,13,2,0
symfony,16189,1,0.89,2,0.01,0,1,86,1,0
symfony,10665,0,0.17,1,0.13,0,1,1,0,0
symfony,8611,0,0.67,1,2.69,0,1,4,0,0
symfony,4058,1,0.67,0,0.36,0,0,0,0,0
symfony,10738,0,0.5,4,0,0,1,17,10,0
symfony,871,0,0.69,28,0.15,0,2,783,232,0
symfony,421,1,0.88,0,0.02,4,0,0,0,1
symfony,12493,0,0.9,1,0.08,0,1,1,1,0
symfony,21640,1,0.14,3,0,0,3,36,11,0
symfony,14091,1,0.54,4,2.65,0,1,0,28,0
symfony,2897,1,0.67,1,0.13,0,1,1,1,0
symfony,5455,0,0.79,1,50.42,0,2,24,0,0
symfony,13540,0,0.89,0,0,0,0,0,0,0
symfony,4721,1,0.89,1,0.01,0,1,10,1,0
symfony,9846,0,0.38,2,0.07,0,1,16,3,0
symfony,9245,1,0.17,0,0.01,0,0,0,0,0
symfony,17203,0,0.1,43,166.98,0,1,482,360,0
symfony,11314,1,0.78,1,18.73,0,1,1,1,0
symfony,2007,1,0.5,1,2.91,0,1,2,2,0
symfony,20223,0,0,2,20.96,10,0,27,0,1
symfony,848,1,0.37,0,0.02,2,0,0,0,1
symfony,7227,0,0.23,119,22.18,0,14,91,5865,0
symfony,13398,1,0.4,100,38.75,0,1,372,227,0
symfony,19722,0,0.25,3,0.07,0,1,12,19,0
symfony,19127,0,0.67,1,0.51,0,1,5,4,0
symfony,20264,0,0.25,7,72.97,0,1,63,0,0
symfony,3580,1,0.64,0,2.83,0,0,0,0,0
symfony,6934,1,0.4,0,0.04,0,0,0,0,0
symfony,1032,1,0.79,2,23.61,0,2,24,2,0
symfony,18496,1,0.64,2,4.51,0,2,17,33,0
symfony,18837,1,0.6,1,1.93,0,1,1,4,0
symfony,14698,0,0.52,3,0.32,0,1,14,12,0
symfony,5705,1,0.41,0,18.88,6,0,0,0,0
symfony,8038,1,0.83,3,5.07,0,1,2,6,0
symfony,14606,0,0.88,2,0.17,0,1,2,2,0
symfony,22809,0,0.37,3,1.57,0,1,2,150,0
symfony,4139,1,0.9,6,3.82,6,2,74,63,0
symfony,16090,0,0.89,2,2.4,0,1,12,1,0
symfony,1933,0,0.63,0,2.95,0,0,0,0,0
symfony,17022,0,0.77,4,19.15,0,0,89,1,1
symfony,11569,0,0,3,21.98,0,0,75,2,1
symfony,2031,1,0,0,19.81,0,0,0,0,0
symfony,9436,0,0.13,2,0.39,0,1,37,37,0
symfony,14365,1,0.88,3,30.64,0,1,23,43,0
symfony,19176,0,0,4,0.09,0,0,23,8,1
symfony,22422,0,0.88,5,4.97,0,1,22,4,0
symfony,18753,0,0.88,3,7.71,3,1,7,7,0
symfony,9867,0,0.71,0,0.08,0,0,0,0,0
symfony,1290,0,0.5,0,1.75,3,0,0,0,1
symfony,23241,1,0.87,4,0.71,0,1,12,15,0
symfony,809,1,0.65,1,0.18,0,2,15,10,0
symfony,12723,0,0.9,2,0.93,0,3,5,1,0
symfony,634,1,0.64,214,155.01,29,0,5631,981,1
symfony,17761,0,0.77,0,14.79,3,0,0,0,1
symfony,21561,1,0.2,25,0.88,0,1,334,270,0
symfony,8621,0,0.78,0,0.02,1,0,0,0,0
symfony,15981,0,0,1,0.06,0,1,9,8,0
symfony,7637,1,0,1,0,0,0,1,1,1
symfony,19083,1,0.14,0,0.26,0,0,0,0,0
symfony,21357,1,0.77,8,15.03,3,5,223,26,0
symfony,14216,0,0.18,1,0.24,0,1,1,1,0
symfony,4561,1,0.34,1,0.62,0,1,1,0,0
symfony,1053,1,0.83,1,0.43,0,1,1,1,0
symfony,19798,0,0.64,1,0.01,0,1,1,1,0
symfony,5170,0,0,0,0,2,0,0,0,1
symfony,9588,0,0.83,0,0.03,0,0,0,0,0
symfony,9820,0,0.33,4,277.86,13,1,59,10,0
symfony,7258,0,0,1381,9.89,0,1421,40473,11623,0
symfony,13309,1,0.87,0,17.23,0,0,0,0,0
symfony,5756,0,0,0,4.18,0,0,0,0,1
symfony,1682,0,0.62,1,0,0,1,19,3,0
symfony,3358,1,0.33,1,0.4,0,1,1,1,0
symfony,16202,1,0.53,1,99.95,2,2,4,1,0
symfony,9119,1,0.76,7,5.87,0,1,259,4,0
symfony,7990,1,0.55,2,0.58,0,4,28,1,0
symfony,17519,0,0,3,0.01,0,1,2,5,0
symfony,6015,0,0.36,0,4.6,0,0,0,0,0
symfony,6202,0,0.45,1,4.96,0,1,1,1,0
symfony,9345,0,0.66,2,0.93,2,0,29,0,1
symfony,16416,0,0.88,1,2.08,0,2,3,1,0
symfony,12781,0,0.83,0,0.08,0,0,0,0,1
symfony,13437,1,0.68,38,1.15,2,1,152,0,0
symfony,11533,1,0,0,0.66,0,0,0,0,0
symfony,5757,1,0.78,0,4.14,0,0,0,0,1
symfony,17855,1,0.54,0,0.28,0,0,0,0,0
symfony,12673,0,0.9,1,0.08,0,1,1,2,0
symfony,13629,0,0.83,0,0,0,0,0,0,1
symfony,15903,0,0,811,0,0,374,2094,38033,0
symfony,2750,1,0.33,3,1.42,0,3,14,2,0
symfony,5688,0,0,3,0.32,0,2,35,26,0
symfony,11510,0,0.33,2,15.23,9,11,94,10,0
symfony,9452,1,0.5,2,52.57,0,0,47,0,1
symfony,5193,1,0,1,0.03,0,1,1,1,0
symfony,10837,0,0.69,1,0.01,1,1,12,0,0
symfony,20787,0,0.78,2,7.01,3,0,22,0,1
symfony,15919,0,0.87,1,2.31,0,1,3,0,0
symfony,23045,0,0.83,1,0.05,0,1,6,1,0
symfony,1544,1,0.73,2,0.68,0,1,89,11,0
symfony,5602,1,0.67,2,2.69,0,1,1,8,0
symfony,4526,1,0.61,4,0.52,0,1,4,4,0
symfony,7423,0,0.4,1,0.01,0,1,3,3,0
symfony,13135,0,0.63,32,2.88,0,1,180,180,0
symfony,16642,0,0.78,2,6.36,0,1,63,1,0
symfony,7436,1,0,0,0.01,0,0,0,0,1
symfony,19271,1,0.77,55,1.12,3,3,89,89,0
symfony,18761,1,0.52,2,1.17,0,2,26,11,0
symfony,9576,0,0.83,1,116.77,3,1,14,0,0
symfony,16964,1,0.88,1,7.05,0,1,2,2,0
symfony,6020,0,0.33,0,0,0,0,0,0,0
symfony,20985,0,0.35,3,0.31,0,2,9,0,0
symfony,2391,1,0.64,0,19.96,0,0,0,0,0
