fk_rails,pr_id,First_Status,FirstStatus,Reputation,Changed_file,Evaluation_time,Num_Comments_before_Closed,Num_commits_before_Closed,Num_lines_added,Num_lines_deleted,classes,Label
1,29064,1,Accepted,0.5,0,0,0,0,0,0,0,Non-Reopened
1,10928,1,Accepted,0.72,1,0,0,1,0,1,0,Non-Reopened
1,14743,0,Rejected,0,1,81.24,0,1,0,1,0,Non-Reopened
1,28909,0,Rejected,0,3,0.13,0,3,56,5,0,Non-Reopened
1,1498,0,Rejected,0,0,1.5,1,0,11,0,0,Non-Reopened
1,13176,1,Accepted,0.86,1,0,0,1,7,2,0,Non-Reopened
1,10474,0,Rejected,0,0,362.28,0,0,3,0,0,Non-Reopened
1,15521,1,Accepted,0.58,3,0.17,0,1,32,3,0,Non-Reopened
1,20009,1,Accepted,0.86,3,139.24,0,1,0,17,0,Non-Reopened
1,25582,1,Accepted,0.8,1,1.18,0,1,4,4,0,Non-Reopened
1,2307,1,Accepted,0.4,0,4.69,0,0,207,0,0,Non-Reopened
1,20856,0,Rejected,0.29,7,209.83,0,2,40,52,0,Non-Reopened
1,15358,1,Accepted,0.81,3,0.38,0,1,14611,25,0,Non-Reopened
1,15091,1,Accepted,0.35,1,0.14,0,1,1,1,0,Non-Reopened
1,6605,1,Accepted,0.79,1,0.14,0,1,2,0,0,Non-Reopened
1,21759,1,Accepted,0.72,1,0.24,0,1,1,5,0,Non-Reopened
1,11523,0,Rejected,0.48,9,1.61,1,1,14,26,0,Non-Reopened
1,17065,0,Rejected,0,1,0.01,1,1,64,1,0,Non-Reopened
1,18678,1,Accepted,0.5,1,0.12,0,1,0,0,0,Non-Reopened
1,26144,1,Accepted,0.5,1,0.03,0,1,1,1,0,Non-Reopened
1,20992,1,Accepted,0.82,1,8.29,0,1,19,1,0,Non-Reopened
1,27536,1,Accepted,0.86,2,0.13,0,1,9,2,0,Non-Reopened
1,8813,1,Accepted,0.5,3,582.81,0,1,3,1,0,Non-Reopened
1,2782,1,Accepted,0.76,2,0.36,0,1,14,4,0,Non-Reopened
1,18125,1,Accepted,0.71,2,0.81,0,1,11,6,0,Non-Reopened
1,18445,1,Accepted,0.93,0,0.2,0,0,51,0,0,Non-Reopened
1,18815,1,Accepted,0.5,1,12.08,0,1,0,3,0,Non-Reopened
