pr_id,First_Status,Reputation,Changed_file,Evaluation_time,Num_Comments_before_Closed,Num_commits_before_Closed,Num_lines_added,Num_lines_deleted,classes
8147,0,0.75,4,0.17,0,1,6,6,0
19108,0,0,1,0.59,4,0,73,0,1
4123,0,0.33,1,0.06,0,2,57,5,0
18429,1,0.88,3,3.33,0,2,74,18,0
10451,1,0.4,4,0.95,0,1,154,6,0
12211,0,0,2,0.01,1,1,39,2,0
10801,0,0.2,1,0,0,1,4,0,0
22811,1,0.35,21,51.7,0,2,261,229,0
1890,0,0.5,1,20.5,2,0,1,1,1
8378,1,0.9,4,271.93,7,1,53,9,0
9236,1,0,1,0.64,0,1,1,0,0
16568,1,0.88,2,0.18,0,1,6,9,0
7236,1,0.65,3,4.99,0,3,13,6,0
4760,1,0.52,1,0,0,0,7,9,1
8984,1,0.3,0,16.76,3,0,0,0,0
1831,1,0.62,1,0,0,1,24,0,0
12776,0,0,0,11.68,0,0,0,0,0
11243,1,0.75,1,0.07,0,1,6,2,0
10654,1,0,1,0.61,0,1,3,3,0
7862,1,0.44,5,1.11,6,1,176,0,0
2644,1,0.25,6,0.56,0,1,30,6,0
7814,0,0.62,0,0.03,0,0,0,0,0
7946,1,0.4,1,0,0,1,2,2,0
10817,0,0.78,1,0.44,0,1,3,0,0
15409,1,0.83,0,0.2,6,0,0,0,0
13752,1,0.83,2,1.89,0,1,8,33,0
22836,1,0.77,8,37.53,0,1,31,729,0
12228,0,0.87,0,0,0,0,0,0,1
18410,0,0.38,5,0.52,0,1,42,40,0
962,1,0.67,0,0.34,0,0,0,0,0
17316,0,0.5,4,0,1,1,3,12,0
12069,0,0,3,3.32,4,1,13,2,0
4544,1,0.36,1,2.81,0,1,1,1,0
18045,1,0.87,2,0.1,0,1,8,12,0
20940,1,0.17,4,60.94,4,1,230,80,0
10589,0,0.3,2,0.04,0,1,3,2,0
14706,0,0.14,1229,0,1,878,28209,11893,0
538,1,0.79,1,0.17,1,2,14,17,0
12382,0,0.66,1,0.3,0,1,1,3,0
5689,0,0.64,0,2.03,4,0,0,0,1
8685,0,0.44,8,769.14,12,7,942,3,0
10714,0,0.3,7,26.91,0,7,143,30,0
2164,1,0.22,0,0.64,0,0,0,0,0
18152,0,0.67,4,0.04,0,3,83,4,0
7201,0,0.83,0,23.93,0,0,0,0,0
19369,1,0.88,1,2.69,0,1,23,1,0
657,0,0,15,0,0,0,18,57,1
22043,1,0.88,0,5.29,0,0,0,0,0
8944,1,0.78,0,0.3,0,0,0,0,1
194,0,0.3,2,0.12,0,3,11,7,0
14101,0,0.88,1,0,0,0,4,3,1
17613,1,0.4,3,8.59,0,1,3,2,0
7668,0,0.55,2,0.28,2,1,10,1,0
3118,1,0.75,7,1.09,0,4,359,186,0
16460,0,0,3,24.07,0,0,43,1,1
16443,0,0.53,2,0.39,0,1,15,5,0
20906,1,0.52,5,0.04,0,1,1,63,0
8400,0,0.62,1,0.03,0,1,4,4,0
3283,1,0.89,8,3.75,0,5,166,20,0
10179,0,0.87,2,367.79,0,0,26,0,1
5170,0,0,0,0,2,0,0,0,1
19784,0,0.33,8,0.04,0,0,132,13,1
3865,1,0.35,2,0.16,2,0,77,1,1
