pr_id,First_Status,Reputation,Changed_file,Evaluation_time,Num_Comments_before_Closed,Num_commits_before_Closed,Num_lines_added,Num_lines_deleted,classes
3879,0,0.55,9,16.59,7,0,750,12,1
1867,1,0.83,155,0,0,1,0,18729,0
2065,0,0.71,1,0.01,0,0,0,0,1
4745,0,0.33,3,2.71,4,0,27,5,1
4253,1,0.83,2,12.77,0,1,132,0,0
4081,0,0.07,0,1.34,3,0,0,0,0
4276,0,0.68,3,2.58,3,1,57,22,0
3425,0,0,1,7.35,0,4,256,241,0
5303,0,0.75,1,0.04,0,1,1,1,0
6171,0,0,1,204.03,5,2,2,2,0
1874,0,0.83,8,0.09,0,0,21,68,1
3999,0,0.37,5,49.75,0,4,501,8,0
4178,0,0.55,0,0.01,0,0,0,0,1
2216,1,0.54,0,0.03,0,0,0,0,0
989,1,0.44,0,3.8,0,0,0,0,0
4514,1,0.42,2,1.32,0,1,16,0,0
1899,0,0.7,2,0.3,0,0,29,1,1
2929,0,0.53,2,0.06,0,0,2,2,1
6628,0,0.39,2,96.9,0,2,10,8,0
1896,0,0.55,4,0.77,0,0,163,0,1
6900,0,0,1,0.85,0,1,1,1,0
4534,1,0.25,0,0.02,0,0,0,0,0
6966,0,0.49,1,1.86,7,1,64,19,0
2765,0,0.23,1,0.07,0,0,1,1,1
1497,1,0.44,0,0.01,0,0,0,0,0
3110,1,0.54,0,38.54,0,0,0,0,0
2201,0,0.25,59,1.02,3,5,345,807,0
6050,1,0.39,7,0.02,0,1,7,7,0
2229,0,0.17,0,22.06,0,0,0,0,1
3538,0,0.43,0,0.19,0,0,0,0,1
4741,0,0,5,0,0,0,50,13,1
3088,0,0.43,0,13.68,5,0,0,0,1
7086,0,0.18,0,3.97,0,0,0,0,0
5108,0,0.37,13,39.4,0,0,163,59,1
6424,0,0.38,44,142.12,4,277,1503,380,0
4099,0,0.39,7,5.19,0,1,9,9,0
4408,0,0.05,4,2.94,0,2,146,4,0
1874,0,0.83,8,0.09,0,0,21,68,1
343,0,0,0,11.01,0,0,0,0,0
759,1,0.55,33,1.98,0,2,5086,0,0
5340,0,0.4,1,0.02,1,0,7,1,1
4068,0,0,2,13.28,1,3,7,0,0
3983,0,0,2,6,0,0,58,20,1
2710,0,0,2,1.25,0,1,64,2,0
1882,1,0.83,1,0.01,0,1,1,1,0
1757,1,0.29,0,0.13,0,0,0,0,0
1365,1,0.87,3,11.56,0,1,122,1,0
3464,0,0.18,1,0,1,1,4,4,0
6570,0,0,5,196.08,7,6,161,4,0
3552,0,0,0,0.05,1,0,0,0,0
416,0,0.04,4,3.19,1,1,173,70,0
2380,0,0.58,2,0.07,1,0,101,2,1
4145,0,0.49,5,14.16,0,0,226,5,1
3868,0,0,0,0.18,0,0,0,0,1
6703,0,0.07,0,292.99,0,0,0,0,0
3639,0,0.49,7,4.96,0,2,65,8,0
803,0,0,0,3.19,1,0,0,0,0
2033,0,0.61,0,0.15,8,0,0,0,0
4102,0,0.41,3,4.97,0,2,7,11,0
4769,0,0.32,0,187.35,5,0,0,0,0
1452,1,0.75,0,5.88,0,0,0,0,0
1623,1,0.68,6,1.61,0,1,13,12,0
2431,0,0.35,0,0.26,0,0,0,0,0
6097,1,0.5,0,0.22,0,0,0,0,0
4605,0,0.29,0,3.94,0,0,0,0,0
3981,0,0.29,0,5.26,0,0,0,0,0
3933,0,0.33,0,0.79,0,0,0,0,1
3160,0,0.44,2,0,1,1,520,0,0
2044,1,0.55,2,0.13,0,2,35,7,0
1119,1,0.5,1,6.47,0,1,5,4,0
3504,0,0.26,0,0.08,3,0,0,0,0
6032,0,0.39,1,9.98,0,1,1,1,0
536,0,0.56,2,0.04,1,2,2,2,0
6129,0,0.39,9,0.5,0,1,35,35,0
5093,0,0.29,2,43.34,0,4,72,0,0
1385,1,0.68,1,0.03,0,1,63,49,0
1935,0,0.55,33,3.35,0,32,738,735,0
2959,1,0.83,13,0.02,0,15,143,18,0
5968,0,0.2,3,0.91,0,0,46,91,1
5453,0,0.41,1,3.01,0,1,23,0,0
51,0,0.68,705,6.04,0,149,7464,4386,0
146,0,0,1,7.27,2,1,1,1,0
457,0,0.04,1,1.33,1,1,20,20,0
163,0,0,0,10,2,0,0,0,1
2244,0,0.25,0,2.31,6,0,0,0,0
